director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title
"Rob Greenberg, Bob Fisher (directors/screenplay); Anna Faris, Eugenio Derbez, Eva Longoria, John Hannah, Josh Segarra, Mel Rodriguez",Anna Faris,Anna Faris,Anna Faris,Romance Comedy,Overboard
Jason Reitman,Charlize Theron,Charlize Theron,Charlize Theron,Drama,Tully
Dean Devlin,David Tennant,David Tennant,David Tennant,Thriller Crime Horror,Bad Samaritan
Bobby Miller,Johnny Galecki,Johnny Galecki,Johnny Galecki,Drama Comedy Fantasy,The Cleanse
Xavier Beauvois,Nathalie Baye,Nathalie Baye,,Animation Family Fantasy Action Adventure,The Guardians
Ben Falcone,Melissa McCarthy,Melissa McCarthy,Melissa McCarthy,Comedy,Life of the Party
James McTeigue,Gabrielle Union,Gabrielle Union,Gabrielle Union,Thriller Crime Action Horror,Breaking In
Michael Mayer,Saoirse Ronan,Saoirse Ronan,Saoirse Ronan,Drama Romance Comedy,The Seagull
Vaughn Stein,Margot Robbie,Margot Robbie,Margot Robbie,Comedy Drama,Terminal
Coralie Fargeat,Matilda Lutz,Matilda Lutz,Matilda Lutz,Fantasy Action Adventure Animation,Revenge
David Leitch,Ryan Reynolds,Ryan Reynolds,Ryan Reynolds,Action Comedy Adventure,Deadpool 2
Bill Holderman,Jane Fonda,Jane Fonda,Jane Fonda,Comedy Romance Drama,Book Club
Paul Schrader,Ethan Hawke,Ethan Hawke,Ethan Hawke,Drama,First Reformed
Wim Wenders,Wim Wenders (director); Pope Francis,Wim Wenders (director); Pope Francis,,Documentary,Pope Francis: A Man of His Word
Raja Gosnell,Will Arnett,Will Arnett,Will Arnett,Adventure Crime Family Comedy,Show Dogs
Ron Howard,Alden Ehrenreich,Alden Ehrenreich,Alden Ehrenreich,Adventure Science Fiction,Solo: A Star Wars Story
John Cameron Mitchell,Elle Fanning,Elle Fanning,Elle Fanning,Comedy Music Romance Science Fiction,How to Talk to Girls at Parties
Anthony Byrne,Natalie Dormer,Natalie Dormer,Natalie Dormer,Thriller Mystery,In Darkness
Bruce LaBruce,Susanne Sachße,Susanne Sachße,Susanne Sachße,Drama,The Misandrists
"James Franco, Bruce Thierry Cheung",James Franco,James Franco,James Franco,Science Fiction,Future World
Tim Kirkby,Johnny Knoxville,Johnny Knoxville,,Comedy Drama,Action Point
Baltasar Kormákur,Shailene Woodley,Shailene Woodley,,Thriller Romance Adventure,Adrift
Leigh Whannell,Logan Marshall-Green,Logan Marshall-Green,Logan Marshall-Green,Action Thriller Science Fiction,Upgrade
Bart Layton,Evan Peters,Evan Peters,Evan Peters,Drama Crime Documentary,American Animals
Theresa Bennett,Noël Wells,Noël Wells,Noël Wells,Comedy Romance,Social Animals
Gary Ross,Sandra Bullock,Sandra Bullock,Sandra Bullock,Crime Comedy Action Thriller,Ocean's 8
Morgan Neville,Morgan Neville (director); Fred Rogers,Morgan Neville (director); Fred Rogers,,Documentary,Won't You Be My Neighbor?
Ari Aster,Toni Collette,Toni Collette,Toni Collette,Horror Mystery Thriller,Hereditary
Drew Pearce,Jodie Foster,Jodie Foster,Jodie Foster,Thriller Science Fiction Action,Hotel Artemis
